date,days,mag
2442404.281,611,8.23
2442405.708,612,7.95
2442406.267,613,8.17
2442406.332,614,8.23
2442411.281,615,8.23
2442411.388,616,8.15
2442412.271,617,8.48
2442415.7,618,8.5
2442417.267,619,7.93
2442424.365,620,8.23
2442424.7,621,8.2
2442425.271,622,8.19
2442425.299,623,8.23
2442427.295,624,8.29
2442427.33,625,8.71
2442427.344,626,8.23
2442430.288,627,7.9
2442433.333,628,8.31
2442433.354,629,8.58
2442435.396,630,8.51
2442438.323,631,8.41
2442438.396,632,7.95
2442441.391,633,8.51
2442444.344,634,8.51
2442444.354,635,8.36
2442444.51,636,7.95
2442445.292,637,8.36
2442447.33,638,8.61
2442451.302,639,8.71
2442453.344,640,8.08
2442454.7,641,8.7
2442471.281,642,8.41
2442471.392,643,8.52
2442472.319,644,8.55
2442474.313,645,8.41
2442474.434,646,8.23
2442475.42,647,8.2
2442479.323,648,8.41
2442480.6,649,8.5
2442486.7,650,8.7
2442487.354,651,8.41
2442488.375,652,8.41
2442489.316,653,8.35
2442489.333,654,8.41
2442498.6,655,8.6
2442500.334,656,8.17
2442505.398,657,8.23
2442510.7,658,8.8
2442515.382,659,8.23
2442522.382,660,8.28
2442532.389,661,8.71
2442536.468,662,8.41
2442567.545,663,8.53
2442571.513,664,8.41
2442605.567,665,8.29
2442626.51,666,8.31
2442628.583,667,8.23
2442629.458,668,8.13
2442629.513,669,8.23
2442630.479,670,8.23
2442634.422,671,7.95
2442634.479,672,8.23
2442641.457,673,8.31
2442651.448,674,8.23
2442652.49,675,8.31
2442657.406,676,8.31
2442657.415,677,8.31
2442659.407,678,8.13
2442659.604,679,8.31
2442665.583,680,8.31
2442668.427,681,8.41
2442670.44,682,8.51
2442671.372,683,8.71
2442671.372,684,8.33
2442671.396,685,8.31
2442676.365,686,8.31
2442676.9,687,8.7
2442679.385,688,8.31
2442681.458,689,8.31
2442684.396,690,8.31
2442687.344,691,8.31
2442687.351,692,8.23
2442687.7,693,8.8
2442689.342,694,8.52
2442689.365,695,8.41
2442696.344,696,8.41
2442697.438,697,8.41
2442697.7,698,9
2442698.342,699,8.25
2442699.344,700,8.71
2442709.302,701,8.55
2442710.292,702,8.55
2442711.361,703,8.68
2442713.302,704,8.55
2442719.291,705,8.48
2442720.357,706,8.65
2442720.375,707,8.41
2442722.292,708,8.36
2442723.7,709,8.4
2442729.7,710,9
2442738.268,711,8.51
2442744.688,712,8.27
2442746.351,713,8.61
2442753.7,714,9.1
2442768.7,715,8.8
2442776.447,716,8.29
2442782.7,717,8.9
2442805.482,718,8.28
2442819.349,719,8.27
2442820.7,720,8.9
2442834.347,721,8.71
2442837.34,722,8.81
2442837.353,723,9.04
2442839.326,724,9.04
2442839.382,725,8.52
2442841.313,726,9.04
2442844.313,727,9.04
2442844.6,728,9
2442860.344,729,8.85
2442864.389,730,8.96
2442876.41,731,8.89
2442877.366,732,8.41
2442888.427,733,8.68
2442889.434,734,8.68
2442892.438,735,8.68
2442905.527,736,8.51
2442920.444,737,8.58
2442953.478,738,8.96
2442976.472,739,8.61
2442976.516,740,8.96
2442977.457,741,8.84
2442991.451,742,8.92
2443000.444,743,9.04
2443001.452,744,9.04
2443008.4,745,10.2
2443010.42,746,8.81
2443014.433,747,9.18
2443018.8,748,8.5
2443020.4,749,10
2443022.7,750,9.1
2443023.8,751,8.4
2443024.371,752,9.04
2443027.8,753,9.1
2443037.8,754,9.1
2443040.372,755,8.66
2443048.394,756,9.04
2443048.406,757,8.71
2443054.7,758,9.1
2443054.8,759,9.1
2443062.7,760,9.1
2443064.7,761,9.1
2443065.338,762,8.58
2443068.347,763,8.55
2443068.381,764,8.52
2443075.288,765,8.23
2443077.7,766,9.1
2443084.7,767,9.1
2443084.8,768,8.9
2443085.295,769,8.17
2443090.292,770,7.93
2443093.406,771,8.51
2443096.7,772,8.5
2443102.6,773,9.1
2443105.503,774,8.52
2443110.295,775,8.12
2443111.6,776,9.1
2443114.6,777,9.1
2443119.6,778,8.9
2443123.3,779,11.6
2443123.368,780,8.23
2443128.7,781,9
2443130.6,782,9.1
2443135.323,783,8.34
2443141.4,784,10.4
2443143.7,785,9.1
2443145.25,786,8.19
2443148.7,787,9.1
2443154.6,788,9
2443160.292,789,8.58
2443160.441,790,8.88
2443165.6,791,9.1
2443173.299,792,8.48
2443173.396,793,8.92
2443179.6,794,9.1
2443180.7,795,9.1
2443188.358,796,9.04
2443191.417,797,8.98
2443201.372,798,8.61
2443204.3,799,10.3
2443207.372,800,8.92
2443211.3,801,10.1
2443214.6,802,9
2443215.7,803,9.1
2443217.34,804,8.71
2443217.385,805,8.6
2443217.403,806,8.92
2443230.351,807,8.81
2443235.399,808,8.92
2443236.42,809,8.61
2443240.351,810,8.27
2443240.413,811,9.04
2443241.365,812,8.61
2443241.7,813,9
2443248.396,814,8.92
2443251.375,815,8.61
2443263.399,816,8.88
2443278.413,817,8.92
2443285.441,818,8.92
2443286.7,819,9.1
2443297.458,820,9.04
2443315.469,821,8.91
2443317.486,822,9.04
2443324.458,823,8.92
2443331.465,824,8.75
2443334.8,825,9.1
2443339.486,826,9.08
2443340.514,827,9.07
2443344.455,828,8.64
2443348.8,829,9.1
2443349.451,830,8.96
2443357.8,831,9.1
2443358.428,832,9.04
2443361.521,833,8.89
2443365.441,834,8.98
2443365.448,835,9.04
2443370.8,836,9.1
2443373.458,837,9.58
2443381.424,838,8.89
2443390.382,839,9.18
2443390.9,840,9.1
2443394.4,841,9
2443395.8,842,9.1
2443398.399,843,8.75
2443398.412,844,9.42
2443399.392,845,9.52
2443401.4,846,9
2443404.458,847,9.19
2443415.9,848,9
2443418.399,849,8.89
2443419.381,850,9.04
2443419.422,851,8.96
2443419.7,852,9.1
2443424.422,853,9.42
2443427.309,854,8.98
2443432.392,855,9.19
2443432.4,856,8.9
2443432.44,857,9.5
2443434.6,858,9
2443436.6,859,9
2443439.7,860,9.6
2443442.333,861,8.89
2443444.388,862,9.01
2443448.279,863,9.5
2443448.382,864,9.12
2443448.415,865,9.66
2443449.8,866,9.7
2443450.7,867,9
2443451.392,868,8.89
2443454.363,869,9.19
2443455.5,870,9.2
2443458.351,871,9.47
2443459.5,872,8.9
2443460.385,873,8.75
2443460.482,874,9.12
2443462.3,875,9.1
2443466.354,876,8.75
2443466.372,877,8.96
2443479.5,878,8.9
2443480.313,879,8.96
2443480.481,880,9.34
2443480.8,881,9.4
2443481.34,882,8.65
2443482.352,883,9.04
2443484.6,884,8.9
2443489.2,885,8.8
2443490.467,886,8.96
2443492.6,887,8.9
2443502.414,888,9.18
2443505.7,889,9
2443508.7,890,9.2
2443509.7,891,9.2
2443510.7,892,9.1
2443511.326,893,9.04
2443511.326,894,8.75
2443511.7,895,9.6
2443513.482,896,9.5
2443517.347,897,8.66
2443518.462,898,8.84
2443523.326,899,8.66
2443526.306,900,8.64
2443526.329,901,9.04
2443528.7,902,9.1
2443535.303,903,8.71
2443539.326,904,8.68
2443539.378,905,8.71
2443539.406,906,8.96
2443539.476,907,9.04
2443539.533,908,8.58
2443543.5,909,8.9
2443545.358,910,8.64
2443546.326,911,8.66
2443550.33,912,8.52
2443551.41,913,8.75
2443551.7,914,9.4
2443551.7,915,9.1
2443567.335,916,8.96
2443569.7,917,9.1
2443570.323,918,8.89
2443570.7,919,9.1
2443571.325,920,8.58
2443572.319,921,8.88
2443573.5,922,8.9
2443576.396,923,8.78
2443578.337,924,8.34
2443580.7,925,9.2
2443582.7,926,9
2443584.418,927,8.75
2443587.4,928,8.8
2443589.348,929,8.34
2443595.41,930,8.66
2443597.346,931,8.34
2443597.456,932,9.18
2443598.335,933,8.96
2443598.7,934,9.3
2443600.399,935,8.75
2443603.354,936,8.78
2443604.424,937,8.75
2443607.5,938,9
2443608.3,939,8.6
2443615.406,940,8.75
2443615.5,941,8.9
2443623.6,942,8.9
2443630.458,943,8.64
2443638.431,944,8.81
2443639.514,945,8.5
2443656.444,946,8.41
2443662.469,947,8.17
2443666.427,948,8.61
2443670.497,949,8.05
2443692.441,950,8.17
2443694.7,951,8.1
2443700.458,952,8.23
2443706.6,953,9
2443714.451,954,8.5
2443718.492,955,9.04
2443736.403,956,8.75
2443737.427,957,9.08
2443738.6,958,9
2443739.583,959,9.04
2443743.378,960,8.75
2443747.493,961,8.81
2443754.472,962,8.84
2443755.41,963,9.38
2443755.434,964,8.89
2443759.41,965,9.8
2443759.458,966,9.12
2443759.517,967,9.18
2443760.9,968,9.5
2443764.448,969,8.81
2443768.368,970,9.07
2443768.6,971,9.3
2443769.44,972,8.84
2443769.622,973,8.89
2443774.438,974,8.87
2443775.8,975,8.8
2443776.389,976,9.5
2443776.8,977,9
2443777.368,978,8.78
2443779.458,979,9.34
2443780.424,980,8.89
2443782.8,981,9
2443783.417,982,9.12
2443783.698,983,9.07
2443788.384,984,9.01
2443789.378,985,8.75
2443791.8,986,9.5
2443792.5,987,9
2443799.444,988,8.89
2443803.7,989,9.3
2443804.372,990,8.75
2443805.328,991,9.19
2443805.354,992,9.18
